Abadia de Goiás ;5200050;;;;"INSERT INTO municipio_codigo VALUES('Abadia de Goiás ','5200050');";
Abadiânia ;5200100;;;;"INSERT INTO municipio_codigo VALUES('Abadiânia ','5200100');";
Acreúna ;5200134;;;;"INSERT INTO municipio_codigo VALUES('Acreúna ','5200134');";
Adelândia ;5200159;;;;"INSERT INTO municipio_codigo VALUES('Adelândia ','5200159');";
Água Fria de Goiás ;5200175;;;;"INSERT INTO municipio_codigo VALUES('Água Fria de Goiás ','5200175');";
Água Limpa ;5200209;;;;"INSERT INTO municipio_codigo VALUES('Água Limpa ','5200209');";
Águas Lindas de Goiás ;5200258;;;;"INSERT INTO municipio_codigo VALUES('Águas Lindas de Goiás ','5200258');";
Alexânia ;5200308;;;;"INSERT INTO municipio_codigo VALUES('Alexânia ','5200308');";
Aloândia ;5200506;;;;"INSERT INTO municipio_codigo VALUES('Aloândia ','5200506');";
Alto Horizonte ;5200555;;;;"INSERT INTO municipio_codigo VALUES('Alto Horizonte ','5200555');";
Alto Paraíso de Goiás ;5200605;;;;"INSERT INTO municipio_codigo VALUES('Alto Paraíso de Goiás ','5200605');";
Alvorada do Norte ;5200803;;;;"INSERT INTO municipio_codigo VALUES('Alvorada do Norte ','5200803');";
Amaralina ;5200829;;;;"INSERT INTO municipio_codigo VALUES('Amaralina ','5200829');";
Americano do Brasil ;5200852;;;;"INSERT INTO municipio_codigo VALUES('Americano do Brasil ','5200852');";
Amorinópolis ;5200902;;;;"INSERT INTO municipio_codigo VALUES('Amorinópolis ','5200902');";
Anápolis ;5201108;;;;"INSERT INTO municipio_codigo VALUES('Anápolis ','5201108');";
Anhanguera ;5201207;;;;"INSERT INTO municipio_codigo VALUES('Anhanguera ','5201207');";
Anicuns ;5201306;;;;"INSERT INTO municipio_codigo VALUES('Anicuns ','5201306');";
Aparecida de Goiânia ;5201405;;;;"INSERT INTO municipio_codigo VALUES('Aparecida de Goiânia ','5201405');";
Aparecida do Rio Doce ;5201454;;;;"INSERT INTO municipio_codigo VALUES('Aparecida do Rio Doce ','5201454');";
Aporé ;5201504;;;;"INSERT INTO municipio_codigo VALUES('Aporé ','5201504');";
Araçu ;5201603;;;;"INSERT INTO municipio_codigo VALUES('Araçu ','5201603');";
Aragarças ;5201702;;;;"INSERT INTO municipio_codigo VALUES('Aragarças ','5201702');";
Aragoiânia ;5201801;;;;"INSERT INTO municipio_codigo VALUES('Aragoiânia ','5201801');";
Araguapaz ;5202155;;;;"INSERT INTO municipio_codigo VALUES('Araguapaz ','5202155');";
Arenópolis ;5202353;;;;"INSERT INTO municipio_codigo VALUES('Arenópolis ','5202353');";
Aruanã ;5202502;;;;"INSERT INTO municipio_codigo VALUES('Aruanã ','5202502');";
Aurilândia ;5202601;;;;"INSERT INTO municipio_codigo VALUES('Aurilândia ','5202601');";
Avelinópolis ;5202809;;;;"INSERT INTO municipio_codigo VALUES('Avelinópolis ','5202809');";
Baliza ;5203104;;;;"INSERT INTO municipio_codigo VALUES('Baliza ','5203104');";
Barro Alto ;5203203;;;;"INSERT INTO municipio_codigo VALUES('Barro Alto ','5203203');";
Bela Vista de Goiás ;5203302;;;;"INSERT INTO municipio_codigo VALUES('Bela Vista de Goiás ','5203302');";
Bom Jardim de Goiás ;5203401;;;;"INSERT INTO municipio_codigo VALUES('Bom Jardim de Goiás ','5203401');";
Bom Jesus de Goiás ;5203500;;;;"INSERT INTO municipio_codigo VALUES('Bom Jesus de Goiás ','5203500');";
Bonfinópolis ;5203559;;;;"INSERT INTO municipio_codigo VALUES('Bonfinópolis ','5203559');";
Bonópolis ;5203575;;;;"INSERT INTO municipio_codigo VALUES('Bonópolis ','5203575');";
Brazabrantes ;5203609;;;;"INSERT INTO municipio_codigo VALUES('Brazabrantes ','5203609');";
Britânia ;5203807;;;;"INSERT INTO municipio_codigo VALUES('Britânia ','5203807');";
Buriti Alegre ;5203906;;;;"INSERT INTO municipio_codigo VALUES('Buriti Alegre ','5203906');";
Buriti de Goiás ;5203939;;;;"INSERT INTO municipio_codigo VALUES('Buriti de Goiás ','5203939');";
Buritinópolis ;5203962;;;;"INSERT INTO municipio_codigo VALUES('Buritinópolis ','5203962');";
Cabeceiras ;5204003;;;;"INSERT INTO municipio_codigo VALUES('Cabeceiras ','5204003');";
Cachoeira Alta ;5204102;;;;"INSERT INTO municipio_codigo VALUES('Cachoeira Alta ','5204102');";
Cachoeira de Goiás ;5204201;;;;"INSERT INTO municipio_codigo VALUES('Cachoeira de Goiás ','5204201');";
Cachoeira Dourada ;5204250;;;;"INSERT INTO municipio_codigo VALUES('Cachoeira Dourada ','5204250');";
Caçu ;5204300;;;;"INSERT INTO municipio_codigo VALUES('Caçu ','5204300');";
Caiapônia ;5204409;;;;"INSERT INTO municipio_codigo VALUES('Caiapônia ','5204409');";
Caldas Novas ;5204508;;;;"INSERT INTO municipio_codigo VALUES('Caldas Novas ','5204508');";
Caldazinha ;5204557;;;;"INSERT INTO municipio_codigo VALUES('Caldazinha ','5204557');";
Campestre de Goiás ;5204607;;;;"INSERT INTO municipio_codigo VALUES('Campestre de Goiás ','5204607');";
Campinaçu ;5204656;;;;"INSERT INTO municipio_codigo VALUES('Campinaçu ','5204656');";
Campinorte ;5204706;;;;"INSERT INTO municipio_codigo VALUES('Campinorte ','5204706');";
Campo Alegre de Goiás ;5204805;;;;"INSERT INTO municipio_codigo VALUES('Campo Alegre de Goiás ','5204805');";
Campo Limpo de Goiás ;5204854;;;;"INSERT INTO municipio_codigo VALUES('Campo Limpo de Goiás ','5204854');";
Campos Belos ;5204904;;;;"INSERT INTO municipio_codigo VALUES('Campos Belos ','5204904');";
Campos Verdes ;5204953;;;;"INSERT INTO municipio_codigo VALUES('Campos Verdes ','5204953');";
Carmo do Rio Verde ;5205000;;;;"INSERT INTO municipio_codigo VALUES('Carmo do Rio Verde ','5205000');";
Castelândia ;5205059;;;;"INSERT INTO municipio_codigo VALUES('Castelândia ','5205059');";
Catalão ;5205109;;;;"INSERT INTO municipio_codigo VALUES('Catalão ','5205109');";
