Número,"Placa do Veículo","Data de Inclusão na Empresa","Data da Baixa na Empresa","Nome da Empresa","CNPJ da Empresa","Usuário Responsável"
1,NKE-3723,"2016-07-21 09:50:37","2016-07-21 14:25:32","CHAPOLIN TUR",18.124.387/0001-53,"EXPRESSO SAO JOSE DO TOCANTINS LTDA"
2,NKZ-5965,"2016-08-02 11:05:03","2016-06-22 14:59:21",ARAGUATUR,02.729.226/0001-53,roberto-co
3,KEU-3752,"2016-07-28 08:15:18","2016-08-03 09:09:06","MARESSA TRANSPORTE E TURISMO",17.193.097/0001-07,edward-arn
4,KES-8490,"2016-07-28 08:12:33","2016-08-03 09:09:33","MARESSA TRANSPORTE E TURISMO",17.193.097/0001-07,edward-arn
5,GPT-0462,"2016-07-28 08:44:56","2016-08-03 09:52:16","OLIVEIRA FERREIRA TRANSPORTES",14.822.444/0001-17,willian-ad
6,BSW-5103,"2016-08-04 15:36:31","2016-08-04 15:37:02","DOURADO TUR",06.157.920/0001-02,roberto-co
7,KDA-2096,"2016-08-05 09:54:51","2016-08-05 16:44:51",UNICA,22.469.527/0001-00,willian-ad
8,GVJ-9508,"2016-08-04 15:54:42","2016-08-05 16:45:58",UNICA,22.469.527/0001-00,willian-ad
9,KCD-3779,"2016-08-05 09:54:09","2016-08-05 16:46:22",UNICA,22.469.527/0001-00,willian-ad
10,JJD-1253,"2016-08-05 09:54:27","2016-08-05 16:46:48",UNICA,22.469.527/0001-00,willian-ad
11,LCC-4160,"2016-08-04 09:57:25","2016-08-09 13:58:07",COOTRANSPI,11.724.547/0001-56,willian-ad
12,KCH-1747,"2016-08-08 14:25:16","2016-08-09 16:33:06",COOPERGO,13.622.437/0001-09,willian-ad
13,CPG-2819,"2016-08-03 11:16:02","2016-08-15 13:05:08",GIOTUR,09.182.743/0001-02,willian-ad
14,OQA-1639,"2016-08-15 16:40:29","2016-08-16 09:40:57",TRANSFLOR,18.416.661/0001-68,roberto-co
15,CPJ-6025,"2016-08-22 15:48:38","2016-08-26 15:05:08",COOPERTRANSGO,19.583.151/0001-48,roberto-co
16,ONI-4771,"2016-08-26 10:21:53","2016-08-26 16:02:16","jl turismo",20.308.493/0001-39,roberto-co
17,NLC-0958,"2016-07-28 11:59:21","2016-09-06 11:15:14","TERRA NOVA TRANSP TURISMO",20.246.049/0001-36,salvio-drt
18,BXH-5063,"2016-08-31 22:28:45","2016-09-06 15:08:30","BRAZ TUR.",07.738.227/0001-88,roberto-co
19,LWZ-9530,"2016-08-12 12:12:25","2016-09-08 14:47:10","BRAZ TUR.",07.738.227/0001-88,roberto-co
20,OGJ-2176,"2016-09-07 22:33:00","2016-09-14 14:11:59",COOPESTUR,06.049.336/0001-25,roberto-co
21,ONJ-7002,"2016-09-19 09:44:08","2016-09-19 14:19:04","THALINE TRANSPORTES E TURISMO",09.054.963/0001-42,roberto-co
22,NLQ-3065,"2016-09-16 12:10:26","2016-09-20 10:31:58","FATIMA TRANSPORTES",17.499.585/0001-39,roberto-co
23,BWB-7979,"2016-09-22 13:56:38","2016-09-26 15:02:32",COOPERTRANSGO,19.583.151/0001-48,roberto-co
24,NVV-9087,"2016-08-18 12:03:55","2016-09-28 14:06:46",UNITRANS,10.368.948/0001-58,roberto-co
25,JIN-4306,"2016-09-27 16:34:43","2016-09-28 14:09:46",UNITRANS,10.368.948/0001-58,roberto-co
26,BUD-6128,"2016-09-28 09:32:29","2016-09-28 16:21:04",COOTRANSPI,11.724.547/0001-56,andre-la
27,ONE-3987,"2016-09-20 09:29:11","2016-10-03 08:27:19","NOBRE TURISMO",02.353.699/0001-07,willian-ad
28,BYF-0410,"2016-09-01 13:36:30","2016-10-04 08:43:13",UNITRANS,10.368.948/0001-58,roberto-co
29,HVR-1626,"2016-10-03 14:50:02","2016-10-05 09:00:37",COOPERTRANS,11.609.342/0001-20,salvio-drt
30,BXI-9328,"2016-10-10 17:03:47","2016-10-11 11:05:17",COOPERGO,13.622.437/0001-09,roberto-co
31,JHY-2667,"2016-10-14 10:04:23","2016-10-17 08:58:52",UNITRANS,10.368.948/0001-58,salvio-drt
32,OMT-6861,"2016-10-13 10:46:43","2016-10-18 15:58:48",COOPERTRANSGO,19.583.151/0001-48,roberto-co
33,ONW-3787,"2016-10-11 08:37:32","2016-10-19 15:11:32","ADVANCE TRANSATUR AGENCIA DE VIAGENS E TURISMO",08.711.487/0001-22,willian-ad
34,ONB-8056,"2016-10-11 08:38:20","2016-10-19 15:11:56","ADVANCE TRANSATUR AGENCIA DE VIAGENS E TURISMO",08.711.487/0001-22,willian-ad
35,LCY-0646,"2016-10-20 10:43:28","2016-10-21 13:57:09",COOPERTRANSGO,19.583.151/0001-48,willian-ad
36,KCE-8045,"2016-10-28 10:17:29","2016-10-31 11:30:58",COOPERGO,13.622.437/0001-09,salvio-drt
37,IDB-0127,"2016-10-28 10:14:15","2016-10-31 11:32:24",COOPERGO,13.622.437/0001-09,salvio-drt
38,JJD-5383,"2016-10-28 10:15:57","2016-10-31 11:33:42",COOPERGO,13.622.437/0001-09,salvio-drt
39,NLC-0958,"2016-11-03 10:53:35","2016-11-03 11:05:57","TERRA NOVA TRANSP TURISMO",20.246.049/0001-36,roberto-co
40,OGU-3367,"2016-11-01 10:51:39","2016-11-03 14:04:54",COOPERTRANSGO,19.583.151/0001-48,willian-ad
41,OMN-7408,"2016-11-01 10:58:32","2016-11-03 14:05:27",COOPERTRANSGO,19.583.151/0001-48,willian-ad
42,NLR-9374,"2016-11-04 13:25:55","2016-11-07 09:54:10",UNITRANS,10.368.948/0001-58,willian-ad
43,KBO-6828,"2016-11-01 09:21:06","2016-11-08 15:53:29",COOPERGO,13.622.437/0001-09,willian-ad
44,BSF-0075,"2016-11-01 09:24:49","2016-11-08 15:53:54",COOPERGO,13.622.437/0001-09,willian-ad
45,NVY-2153,"2016-11-01 09:23:15","2016-11-08 15:54:41",COOPERGO,13.622.437/0001-09,willian-ad
46,NLR-9374,"2016-11-10 09:18:08","2016-11-10 11:52:30",UNITRANS,10.368.948/0001-58,salvio-drt
47,KEU-6661,"2016-11-08 14:25:23","2016-11-11 13:53:33","MUNDIAL TURISMO",13.297.600/0001-05,willian-ad
48,MPF-8508,"2016-11-08 14:21:25","2016-11-11 13:54:20","MUNDIAL TURISMO",13.297.600/0001-05,willian-ad
49,OSY-4233,"2016-11-11 07:39:16","2016-11-11 14:24:23",COOPERGO,13.622.437/0001-09,willian-ad
50,NKT-2429,"2016-09-16 16:30:55","2016-11-16 07:20:27","DELL TURISMO",15.188.904/0001-60,salvio-drt
51,BWB-5050,"2016-11-16 17:53:15","2016-11-17 10:58:58","TRANS LIDER",00.957.887/0001-00,salvio-drt
52,JNY-1578,"2016-11-17 08:20:27","2016-11-17 14:26:01",COOPERTRANSGO,19.583.151/0001-48,roberto-co
53,GLU-9135,"2016-11-17 10:42:51","2016-11-17 14:44:00",COOPERTRANSGO,19.583.151/0001-48,roberto-co
54,BYB-9298,"2016-07-22 11:08:13","2016-11-18 09:46:57","TRANSPORTES ALVES",08.726.468/0001-70,willian-ad
55,KEF-8141,"2016-11-11 20:06:28","2016-11-21 15:13:15","L. L TRANSPORTE E TURISMO",25.047.926/0001-63,roberto-co
56,GLU-1847,"2016-11-23 15:49:56","2016-11-24 13:23:38",COOPERTRANSGO,19.583.151/0001-48,willian-ad
57,FHA-1658,"2016-08-23 10:05:27","2016-11-24 16:23:06",ELIZLINE,04.886.192/0002-17,roberto-co
